Site,IP,Hop,Router,Time
google.com,142.250.193.110,1,172.25.240.1,0.939
google.com,142.250.193.110,2,142.250.193.110,523.074
github.com,140.82.121.4,1,172.25.240.1,1.223
github.com,140.82.121.4,2,140.82.121.4,97.097
archlinux.org,209.126.35.79,1,172.25.240.1,0.831
archlinux.org,209.126.35.79,2,209.126.35.79,92.804
nsu.ru,84.237.49.123,1,172.25.240.1,0.702
nsu.ru,84.237.49.123,2,*,timeout
nsu.ru,84.237.49.123,3,*,timeout
nsu.ru,84.237.49.123,4,*,timeout
nsu.ru,84.237.49.123,5,*,timeout
nsu.ru,84.237.49.123,6,*,timeout
nsu.ru,84.237.49.123,7,*,timeout
nsu.ru,84.237.49.123,8,*,timeout
nsu.ru,84.237.49.123,9,*,timeout
nsu.ru,84.237.49.123,10,*,timeout
nsu.ru,84.237.49.123,11,*,timeout
nsu.ru,84.237.49.123,12,*,timeout
nsu.ru,84.237.49.123,13,*,timeout
nsu.ru,84.237.49.123,14,*,timeout
nsu.ru,84.237.49.123,15,*,timeout
nsu.ru,84.237.49.123,16,*,timeout
nsu.ru,84.237.49.123,17,*,timeout
nsu.ru,84.237.49.123,18,*,timeout
nsu.ru,84.237.49.123,19,*,timeout
nsu.ru,84.237.49.123,20,*,timeout
