Провожающая в последний путь Фрирен / Sousou no Frieren,TV Сериал,28,PG-13,9.25
Невероятное приключение ДжоДжо: Гонка «Стальной шар» / Steel Ball Run: JoJo no Kimyou na Bouken,ONA,1 / ?,R-17,9.2
Стальной алхимик: Братство / Fullmetal Alchemist: Brotherhood,TV Сериал,64,R-17,9.1
Человек-бензопила: Резе / Chainsaw Man Movie: Reze-hen,Фильм,1,R-17,9.09
Врата Штейна / Steins;Gate,TV Сериал,24,PG-13,9.07
Атака титанов 3. Часть 2 / Shingeki no Kyojin Season 3 Part 2,TV Сериал,10,R-17,9.05
Гинтама: Финал / Gintama: The Final,Фильм,1,PG-13,9.05
Гинтама 4 / Gintama°,TV Сериал,51,PG-13,9.05
Охотник х Охотник (2011) / Hunter x Hunter (2011),TV Сериал,148,PG-13,9.03
Легенда о героях Галактики / Ginga Eiyuu Densetsu,OVA,110,R+,9.02
Гинтама 2 / Gintama',TV Сериал,51,PG-13,9.02
Гинтама 3 / Gintama': Enchousen,TV Сериал,13,PG-13,9.02
Ван-Пис: Письмо от поклонника / One Piece Fan Letter,TV Спецвыпуск,1,PG-13,9.02
Провожающая в последний путь Фрирен 2 / Sousou no Frieren 2nd Season,TV Сериал,9 / 10,PG-13,8.99
Блич: Тысячелетняя кровавая война / Bleach: Sennen Kessen-hen,TV Сериал,13,R-17,8.98
Гинтама 5 / Gintama.,TV Сериал,12,PG-13,8.98
Госпожа Кагуя: в любви как на войне 3 / Kaguya-sama wa Kokurasetai: Ultra Romantic,TV Сериал,13,PG-13,8.96
Корзинка фруктов: Финал / Fruits Basket: The Final,TV Сериал,13,PG-13,8.94
Кланнад: Продолжение истории / Clannad: After Story,TV Сериал,24,PG-13,8.93
Гинтама / Gintama,TV Сериал,201,PG-13,8.93
Провожающая в последний путь Фрирен / Sousou no Frieren,TV Сериал,28,PG-13,9.25
Невероятное приключение ДжоДжо: Гонка «Стальной шар» / Steel Ball Run: JoJo no Kimyou na Bouken,ONA,1 / ?,R-17,9.2
Стальной алхимик: Братство / Fullmetal Alchemist: Brotherhood,TV Сериал,64,R-17,9.1
Человек-бензопила: Резе / Chainsaw Man Movie: Reze-hen,Фильм,1,R-17,9.09
Врата Штейна / Steins;Gate,TV Сериал,24,PG-13,9.07
Атака титанов 3. Часть 2 / Shingeki no Kyojin Season 3 Part 2,TV Сериал,10,R-17,9.05
Гинтама: Финал / Gintama: The Final,Фильм,1,PG-13,9.05
Гинтама 4 / Gintama°,TV Сериал,51,PG-13,9.05
Охотник х Охотник (2011) / Hunter x Hunter (2011),TV Сериал,148,PG-13,9.03
Легенда о героях Галактики / Ginga Eiyuu Densetsu,OVA,110,R+,9.02
Гинтама 2 / Gintama',TV Сериал,51,PG-13,9.02
Гинтама 3 / Gintama': Enchousen,TV Сериал,13,PG-13,9.02
Ван-Пис: Письмо от поклонника / One Piece Fan Letter,TV Спецвыпуск,1,PG-13,9.02
Провожающая в последний путь Фрирен 2 / Sousou no Frieren 2nd Season,TV Сериал,9 / 10,PG-13,8.99
Блич: Тысячелетняя кровавая война / Bleach: Sennen Kessen-hen,TV Сериал,13,R-17,8.98
Гинтама 5 / Gintama.,TV Сериал,12,PG-13,8.98
Госпожа Кагуя: в любви как на войне 3 / Kaguya-sama wa Kokurasetai: Ultra Romantic,TV Сериал,13,PG-13,8.96
Корзинка фруктов: Финал / Fruits Basket: The Final,TV Сериал,13,PG-13,8.94
Кланнад: Продолжение истории / Clannad: After Story,TV Сериал,24,PG-13,8.93
Гинтама / Gintama,TV Сериал,201,PG-13,8.93
Форма голоса / Koe no Katachi,Фильм,1,PG-13,8.93
Монолог фармацевта 2 / Kusuriya no Hitorigoto 2nd Season,TV Сериал,24,PG-13,8.91
Код Гиас: Восставший Лелуш 2 / Code Geass: Hangyaku no Lelouch R2,TV Сериал,25,R-17,8.91
Мартовский лев 2 / 3-gatsu no Lion 2nd Season,TV Сериал,22,PG-13,8.9
Гинтама: Финальная арка — Ёродзуя навсегда! / Gintama Movie 2: Kanketsu-hen - Yorozuya yo Eien Nare,Фильм,1,PG-13,8.89
Монстр / Monster,TV Сериал,74,R+,8.89
